age,favourite_colour,preferred_biscuit,dominant_hand,likes_pineapple_on_pizza,zodiac_sign,preferred_pet_type,political_leaning,drives,personality
66,Red,Jammie Dodger,Left,No,Sagittarius,Bird,Left,No,Ambivert
65,White,Custard Cream,Left,No,Pisces,Bird,Right,Yes,Introvert
20,Pink,Ginger Nut,Right,Yes,Libra,Cat,Center-Right,Yes,Extrovert
27,Brown,Nice,Left,No,Leo,Fish,Center,Yes,Introvert
38,Brown,Jammie Dodger,Left,No,Sagittarius,Bird,Center,Yes,Ambivert
60,Green,Shortbread,Left,Yes,Aquarius,Dog,Center,No,Ambivert
29,Black,Custard Cream,Right,No,Sagittarius,Dog,Right,No,Introvert
67,Yellow,Rich Tea,Right,Yes,Pisces,Cat,Center-Left,Yes,Ambivert
40,Yellow,Shortbread,Right,No,Libra,Fish,Center,Yes,Introvert
41,Pink,Jammie Dodger,Right,Yes,Scorpio,Rabbit,Center-Left,No,Extrovert
48,Orange,Digestive,Left,No,Taurus,Rabbit,Right,Yes,Introvert
56,Green,Hobnob,Right,Yes,Leo,Dog,Right,Yes,Extrovert
54,Red,Digestive,Right,No,Pisces,Dog,Center,No,Introvert
79,Pink,Bourbon,Right,No,Libra,Bird,Center-Right,No,Ambivert
73,Brown,Hobnob,Left,No,Sagittarius,Cat,Center-Left,No,Introvert
32,Blue,Rich Tea,Right,Yes,Capricorn,Fish,Center-Right,No,Introvert
51,Pink,Rich Tea,Left,No,Leo,Rabbit,Center-Right,No,Introvert
26,Purple,Bourbon,Left,No,Cancer,Cat,Right,Yes,Introvert
36,Blue,Digestive,Right,Yes,Capricorn,Dog,Center,Yes,Ambivert
60,Yellow,Rich Tea,Left,No,Capricorn,Fish,Center-Right,Yes,Introvert
80,Red,Nice,Right,No,Libra,Cat,Left,Yes,Introvert
30,Black,Hobnob,Right,No,Virgo,Cat,Left,Yes,Introvert
35,Blue,Rich Tea,Right,No,Sagittarius,Fish,Center,No,Introvert
61,Black,Jammie Dodger,Right,No,Pisces,Bird,Center-Left,Yes,Introvert
66,Purple,Hobnob,Right,No,Cancer,Cat,Right,No,Introvert
53,Orange,Jammie Dodger,Left,Yes,Aries,Dog,Center-Right,No,Extrovert
47,Red,Rich Tea,Left,No,Libra,Dog,Center-Left,Yes,Introvert
49,Brown,Garibaldi,Left,Yes,Leo,Rabbit,Center,Yes,Extrovert
60,Pink,Hobnob,Left,Yes,Libra,Bird,Right,Yes,Extrovert
67,Yellow,Rich Tea,Right,Yes,Libra,Cat,Center-Left,Yes,Introvert
47,Red,Custard Cream,Right,Yes,Pisces,Bird,Center-Right,No,Extrovert
39,Green,Rich Tea,Right,Yes,Aries,Bird,Left,Yes,Introvert
25,Purple,Ginger Nut,Left,Yes,Sagittarius,Fish,Center,Yes,Ambivert
34,Black,Nice,Left,No,Gemini,Rabbit,Center,Yes,Introvert
24,Green,Shortbread,Right,Yes,Gemini,Cat,Left,No,Ambivert
50,Brown,Garibaldi,Right,Yes,Capricorn,Dog,Right,No,Ambivert
56,Yellow,Ginger Nut,Right,Yes,Pisces,Dog,Center-Right,Yes,Extrovert
47,Green,Bourbon,Right,No,Gemini,Cat,Center,No,Introvert
53,White,Nice,Right,Yes,Sagittarius,Cat,Left,Yes,Introvert
79,Black,Hobnob,Left,No,Taurus,Dog,Center-Right,Yes,Introvert
51,Blue,Ginger Nut,Right,Yes,Capricorn,Cat,Center-Left,Yes,Ambivert
67,Purple,Rich Tea,Left,Yes,Cancer,Rabbit,Right,Yes,Ambivert
61,Pink,Hobnob,Left,Yes,Aries,Bird,Center,No,Extrovert
67,Yellow,Hobnob,Right,No,Leo,Rabbit,Left,Yes,Ambivert
72,White,Jammie Dodger,Left,Yes,Pisces,Bird,Center-Right,No,Extrovert
69,Brown,Shortbread,Right,Yes,Aquarius,Fish,Center-Right,Yes,Introvert
47,Yellow,Hobnob,Right,Yes,Libra,Fish,Right,No,Ambivert
53,Brown,Garibaldi,Right,No,Leo,Rabbit,Right,Yes,Introvert
40,Brown,Rich Tea,Left,Yes,Gemini,Rabbit,Left,No,Introvert
73,Brown,Jammie Dodger,Left,No,Virgo,Rabbit,Center-Left,No,Introvert
48,Blue,Jammie Dodger,Right,No,Leo,Bird,Left,No,Introvert
26,Blue,Rich Tea,Right,No,Aquarius,Dog,Center-Left,Yes,Introvert
71,White,Ginger Nut,Right,No,Virgo,Bird,Left,No,Introvert
24,Purple,Shortbread,Right,Yes,Scorpio,Bird,Center-Right,No,Extrovert
23,Yellow,Nice,Left,No,Aries,Rabbit,Center-Right,Yes,Introvert
66,White,Garibaldi,Right,No,Gemini,Bird,Center,Yes,Ambivert
42,Blue,Jammie Dodger,Right,No,Aries,Fish,Right,Yes,Introvert
55,Purple,Hobnob,Right,Yes,Scorpio,Cat,Center-Right,Yes,Extrovert
25,Pink,Jammie Dodger,Left,Yes,Scorpio,Rabbit,Left,Yes,Extrovert
32,Black,Garibaldi,Left,No,Pisces,Cat,Left,Yes,Introvert
72,Green,Digestive,Left,Yes,Gemini,Rabbit,Center,Yes,Ambivert
79,Orange,Hobnob,Left,No,Aries,Bird,Center,Yes,Ambivert
33,Orange,Rich Tea,Right,Yes,Sagittarius,Dog,Center-Right,No,Ambivert
67,Orange,Shortbread,Left,Yes,Sagittarius,Cat,Center,No,Ambivert
57,Blue,Garibaldi,Right,Yes,Gemini,Cat,Left,No,Ambivert
49,Orange,Jammie Dodger,Left,Yes,Taurus,Cat,Left,No,Extrovert
57,Yellow,Ginger Nut,Right,Yes,Aquarius,Rabbit,Center,Yes,Extrovert
58,White,Jammie Dodger,Left,No,Capricorn,Bird,Center-Left,Yes,Extrovert
63,Yellow,Hobnob,Left,No,Aquarius,Dog,Center-Left,Yes,Extrovert
21,Black,Custard Cream,Left,No,Leo,Fish,Right,Yes,Introvert
76,Pink,Digestive,Left,No,Scorpio,Fish,Right,Yes,Introvert
21,Black,Ginger Nut,Left,No,Virgo,Fish,Right,No,Introvert
44,Orange,Garibaldi,Right,No,Virgo,Cat,Left,Yes,Ambivert
60,Red,Jammie Dodger,Left,Yes,Sagittarius,Dog,Left,Yes,Extrovert
46,Black,Garibaldi,Right,No,Aries,Dog,Center-Right,No,Introvert
58,Green,Digestive,Left,Yes,Sagittarius,Fish,Center-Left,Yes,Introvert
40,Blue,Garibaldi,Right,No,Gemini,Rabbit,Center-Left,No,Introvert
39,Blue,Jammie Dodger,Left,Yes,Pisces,Dog,Right,No,Extrovert
60,Yellow,Custard Cream,Left,No,Gemini,Cat,Center-Left,No,Ambivert
63,White,Digestive,Right,No,Sagittarius,Rabbit,Center-Right,Yes,Introvert
34,Brown,Ginger Nut,Left,Yes,Aries,Dog,Center-Left,No,Ambivert
47,Yellow,Hobnob,Right,No,Cancer,Dog,Right,Yes,Extrovert
71,Green,Nice,Left,No,Aries,Fish,Center-Right,Yes,Introvert
61,Green,Hobnob,Left,Yes,Virgo,Cat,Left,No,Ambivert
30,Yellow,Jammie Dodger,Right,Yes,Leo,Dog,Left,Yes,Extrovert
28,Black,Rich Tea,Right,Yes,Libra,Fish,Left,Yes,Introvert
63,Yellow,Ginger Nut,Left,No,Taurus,Cat,Left,Yes,Ambivert
57,Red,Digestive,Left,Yes,Pisces,Rabbit,Center-Left,Yes,Ambivert
19,Yellow,Nice,Left,No,Pisces,Cat,Right,No,Introvert
20,Brown,Ginger Nut,Left,Yes,Aries,Dog,Center-Left,No,Ambivert
56,Purple,Garibaldi,Left,No,Scorpio,Rabbit,Right,No,Ambivert
73,White,Digestive,Left,No,Leo,Cat,Center-Right,Yes,Introvert
24,Red,Hobnob,Left,Yes,Leo,Rabbit,Left,Yes,Extrovert
25,Black,Nice,Left,No,Capricorn,Cat,Center,Yes,Introvert
52,Black,Bourbon,Left,No,Virgo,Fish,Right,No,Introvert
18,Blue,Garibaldi,Right,Yes,Gemini,Bird,Right,Yes,Extrovert
59,Brown,Bourbon,Right,No,Libra,Fish,Center-Left,Yes,Introvert
29,Pink,Garibaldi,Right,Yes,Scorpio,Fish,Center,No,Extrovert
36,White,Nice,Right,No,Cancer,Bird,Center-Left,Yes,Introvert
38,Black,Nice,Right,Yes,Pisces,Rabbit,Center-Right,Yes,Introvert
76,Purple,Custard Cream,Left,Yes,Gemini,Rabbit,Left,Yes,Extrovert
67,Brown,Hobnob,Right,No,Aquarius,Dog,Left,No,Introvert
27,Green,Digestive,Left,No,Taurus,Rabbit,Left,No,Introvert
76,Black,Bourbon,Right,Yes,Gemini,Cat,Center,Yes,Introvert
54,Blue,Ginger Nut,Right,No,Cancer,Bird,Center-Right,Yes,Introvert
40,Black,Digestive,Right,Yes,Aquarius,Fish,Center-Left,No,Introvert
27,Black,Bourbon,Left,No,Leo,Bird,Left,No,Introvert
53,Yellow,Custard Cream,Right,Yes,Taurus,Bird,Center,No,Extrovert
72,Pink,Nice,Right,Yes,Aries,Cat,Left,Yes,Ambivert
64,Green,Rich Tea,Right,Yes,Aquarius,Cat,Right,Yes,Introvert
43,White,Jammie Dodger,Right,Yes,Libra,Rabbit,Center,Yes,Extrovert
73,Pink,Bourbon,Left,Yes,Virgo,Rabbit,Center-Left,Yes,Extrovert
73,Black,Custard Cream,Left,Yes,Capricorn,Dog,Center-Right,Yes,Introvert
19,Brown,Shortbread,Right,Yes,Virgo,Fish,Center-Right,Yes,Introvert
27,Black,Custard Cream,Left,No,Virgo,Cat,Center-Right,No,Introvert
67,Blue,Jammie Dodger,Left,Yes,Gemini,Cat,Right,Yes,Extrovert
25,Red,Ginger Nut,Left,Yes,Sagittarius,Rabbit,Right,No,Extrovert
23,Black,Jammie Dodger,Left,No,Libra,Cat,Center-Left,No,Introvert
20,Green,Custard Cream,Right,Yes,Taurus,Rabbit,Left,Yes,Extrovert
26,Brown,Rich Tea,Right,Yes,Capricorn,Dog,Right,Yes,Introvert
72,Brown,Nice,Right,Yes,Pisces,Fish,Center-Left,Yes,Introvert
54,Pink,Hobnob,Left,No,Cancer,Fish,Center-Left,Yes,Ambivert
30,White,Jammie Dodger,Left,No,Leo,Rabbit,Center-Left,Yes,Ambivert
44,Pink,Ginger Nut,Left,Yes,Taurus,Fish,Left,Yes,Extrovert
54,Orange,Shortbread,Left,No,Gemini,Fish,Center-Right,No,Introvert
40,Blue,Ginger Nut,Right,Yes,Scorpio,Cat,Center-Right,No,Ambivert
80,Red,Ginger Nut,Left,No,Virgo,Rabbit,Right,Yes,Ambivert
29,White,Digestive,Left,No,Virgo,Rabbit,Center,No,Introvert
31,Brown,Hobnob,Left,No,Cancer,Dog,Center,Yes,Introvert
46,Yellow,Custard Cream,Left,No,Cancer,Rabbit,Center-Right,Yes,Extrovert
33,White,Shortbread,Right,No,Taurus,Bird,Center-Left,No,Introvert
39,Black,Digestive,Left,No,Aries,Dog,Center-Right,No,Introvert
59,Pink,Ginger Nut,Right,Yes,Gemini,Cat,Left,Yes,Extrovert
71,Brown,Garibaldi,Right,Yes,Aries,Rabbit,Center-Right,No,Ambivert
60,Green,Shortbread,Left,No,Sagittarius,Dog,Right,No,Introvert
69,Red,Rich Tea,Right,No,Scorpio,Dog,Center-Right,Yes,Introvert
45,Red,Rich Tea,Left,No,Aquarius,Fish,Center-Left,No,Introvert
50,Purple,Ginger Nut,Right,Yes,Aquarius,Fish,Left,Yes,Ambivert
28,Yellow,Custard Cream,Right,No,Pisces,Rabbit,Center-Right,Yes,Extrovert
56,Yellow,Shortbread,Left,Yes,Sagittarius,Dog,Center,Yes,Extrovert
71,Pink,Ginger Nut,Left,Yes,Libra,Bird,Center-Left,No,Extrovert
50,White,Digestive,Left,No,Taurus,Cat,Right,No,Introvert
32,Pink,Digestive,Left,No,Taurus,Rabbit,Right,Yes,Ambivert
31,Blue,Ginger Nut,Right,No,Libra,Dog,Center,No,Introvert
44,Black,Digestive,Right,Yes,Leo,Dog,Center-Left,No,Introvert
66,Purple,Ginger Nut,Left,Yes,Scorpio,Cat,Center-Left,No,Extrovert
74,Orange,Hobnob,Left,No,Sagittarius,Fish,Center-Right,No,Introvert
75,Yellow,Garibaldi,Left,Yes,Libra,Fish,Center-Left,No,Extrovert
74,Yellow,Bourbon,Right,Yes,Virgo,Fish,Center,Yes,Ambivert
44,White,Rich Tea,Right,Yes,Taurus,Dog,Right,No,Introvert
40,Black,Garibaldi,Left,No,Sagittarius,Rabbit,Center,Yes,Introvert
25,Pink,Rich Tea,Left,No,Virgo,Dog,Center-Right,No,Introvert
27,White,Rich Tea,Right,Yes,Pisces,Cat,Right,No,Introvert
30,Green,Shortbread,Left,No,Cancer,Cat,Center-Right,No,Introvert
29,Brown,Ginger Nut,Right,Yes,Cancer,Dog,Center,No,Ambivert
35,Orange,Rich Tea,Right,No,Taurus,Rabbit,Center-Left,No,Introvert
67,Green,Nice,Left,No,Gemini,Bird,Right,No,Introvert
63,Black,Nice,Right,Yes,Pisces,Fish,Center-Right,Yes,Introvert
68,Black,Jammie Dodger,Left,No,Libra,Dog,Center-Right,Yes,Introvert
63,Pink,Digestive,Left,No,Capricorn,Cat,Left,Yes,Ambivert
20,Yellow,Custard Cream,Right,Yes,Taurus,Cat,Center-Right,Yes,Extrovert
23,Yellow,Garibaldi,Right,Yes,Sagittarius,Fish,Left,Yes,Extrovert
27,Black,Ginger Nut,Left,No,Libra,Cat,Left,Yes,Introvert
30,Yellow,Custard Cream,Left,Yes,Aquarius,Rabbit,Center,Yes,Extrovert
47,Pink,Garibaldi,Left,Yes,Virgo,Bird,Center-Right,No,Extrovert
59,Blue,Custard Cream,Right,No,Virgo,Fish,Center-Right,Yes,Introvert
77,Brown,Jammie Dodger,Left,Yes,Aries,Fish,Right,Yes,Ambivert
54,Green,Bourbon,Left,Yes,Taurus,Rabbit,Center-Left,No,Ambivert
72,Blue,Hobnob,Left,No,Pisces,Cat,Left,Yes,Introvert
61,Green,Ginger Nut,Right,Yes,Taurus,Fish,Center-Left,Yes,Ambivert
55,Orange,Custard Cream,Left,No,Gemini,Dog,Center-Right,No,Ambivert
79,Black,Garibaldi,Right,Yes,Leo,Dog,Center,Yes,Ambivert
19,Yellow,Hobnob,Right,No,Cancer,Fish,Center-Left,Yes,Introvert
80,White,Shortbread,Left,No,Virgo,Dog,Center-Left,Yes,Introvert
23,Blue,Rich Tea,Right,No,Leo,Dog,Right,No,Introvert
52,Yellow,Rich Tea,Right,No,Aquarius,Rabbit,Center-Right,No,Introvert
47,Yellow,Rich Tea,Right,No,Aries,Fish,Center,Yes,Introvert
70,Blue,Hobnob,Right,Yes,Taurus,Dog,Left,Yes,Extrovert
63,Blue,Custard Cream,Right,Yes,Sagittarius,Rabbit,Center-Left,Yes,Ambivert
29,Red,Nice,Left,Yes,Capricorn,Bird,Left,Yes,Ambivert
77,Orange,Rich Tea,Right,No,Leo,Rabbit,Right,Yes,Introvert
44,Yellow,Nice,Right,Yes,Virgo,Dog,Center-Right,No,Extrovert
60,Green,Custard Cream,Left,Yes,Virgo,Bird,Center-Left,Yes,Extrovert
75,Yellow,Jammie Dodger,Right,No,Cancer,Fish,Center-Left,No,Ambivert
73,White,Bourbon,Right,Yes,Libra,Bird,Center-Right,No,Ambivert
19,Purple,Shortbread,Left,No,Pisces,Dog,Right,Yes,Ambivert
40,Orange,Rich Tea,Right,No,Taurus,Fish,Center-Right,Yes,Introvert
52,Purple,Rich Tea,Right,Yes,Sagittarius,Cat,Center-Right,No,Introvert
52,Red,Bourbon,Left,No,Cancer,Rabbit,Center-Left,Yes,Introvert
35,Black,Bourbon,Left,No,Sagittarius,Rabbit,Center-Right,Yes,Introvert
29,Brown,Hobnob,Left,Yes,Libra,Fish,Right,No,Introvert
69,Purple,Jammie Dodger,Right,No,Taurus,Rabbit,Center-Left,No,Extrovert
55,Green,Ginger Nut,Right,No,Leo,Rabbit,Left,No,Introvert
19,Green,Hobnob,Right,No,Capricorn,Dog,Center-Left,No,Introvert
65,Black,Hobnob,Left,Yes,Leo,Fish,Center-Right,Yes,Introvert
72,Purple,Rich Tea,Left,No,Virgo,Bird,Center-Right,Yes,Introvert
30,Orange,Jammie Dodger,Left,No,Sagittarius,Cat,Right,No,Ambivert
20,Purple,Ginger Nut,Right,No,Scorpio,Fish,Center-Right,Yes,Introvert
77,Red,Digestive,Right,Yes,Libra,Rabbit,Right,No,Ambivert
66,Black,Custard Cream,Right,No,Pisces,Dog,Left,No,Introvert
51,Orange,Ginger Nut,Left,Yes,Leo,Bird,Right,Yes,Extrovert
53,Black,Digestive,Left,Yes,Leo,Bird,Center,Yes,Introvert
49,Purple,Shortbread,Right,Yes,Pisces,Bird,Left,Yes,Extrovert
41,Green,Shortbread,Left,No,Taurus,Fish,Left,Yes,Introvert
28,Brown,Jammie Dodger,Right,Yes,Taurus,Cat,Center,Yes,Extrovert
77,Yellow,Garibaldi,Right,No,Libra,Rabbit,Center-Right,Yes,Ambivert
68,Pink,Shortbread,Left,No,Cancer,Cat,Center-Right,No,Ambivert
46,Green,Shortbread,Right,Yes,Cancer,Bird,Center-Right,No,Ambivert
55,Pink,Jammie Dodger,Left,No,Pisces,Dog,Center-Right,Yes,Extrovert
63,Red,Nice,Left,No,Virgo,Rabbit,Center,No,Introvert
35,Black,Custard Cream,Right,Yes,Leo,Dog,Center,Yes,Ambivert
34,Blue,Rich Tea,Left,No,Sagittarius,Fish,Left,No,Introvert
23,Green,Jammie Dodger,Left,Yes,Pisces,Rabbit,Center,Yes,Extrovert
61,Blue,Shortbread,Right,No,Gemini,Rabbit,Center,No,Introvert
47,Black,Shortbread,Left,Yes,Aquarius,Bird,Left,Yes,Introvert
28,Black,Rich Tea,Right,No,Sagittarius,Dog,Center,Yes,Introvert
63,Red,Rich Tea,Right,No,Sagittarius,Fish,Center-Left,No,Introvert
43,Pink,Hobnob,Right,Yes,Libra,Fish,Right,Yes,Extrovert
40,Black,Hobnob,Right,No,Gemini,Rabbit,Center-Right,No,Introvert
47,Pink,Digestive,Left,Yes,Taurus,Fish,Left,Yes,Ambivert
47,Pink,Jammie Dodger,Left,No,Libra,Fish,Center,Yes,Extrovert
19,Blue,Nice,Right,No,Taurus,Cat,Left,Yes,Introvert
71,Red,Hobnob,Right,Yes,Gemini,Cat,Center-Right,No,Extrovert
56,White,Shortbread,Left,Yes,Aries,Bird,Center-Right,No,Ambivert
23,Red,Garibaldi,Left,Yes,Libra,Rabbit,Center-Right,No,Extrovert
36,Orange,Shortbread,Left,No,Scorpio,Cat,Right,No,Introvert
49,Green,Nice,Right,No,Aries,Fish,Center-Left,No,Introvert
38,Brown,Rich Tea,Right,Yes,Libra,Dog,Center,No,Introvert
23,Orange,Custard Cream,Left,Yes,Gemini,Bird,Left,No,Extrovert
64,Purple,Rich Tea,Left,No,Libra,Bird,Center-Right,Yes,Introvert
26,Red,Custard Cream,Right,Yes,Sagittarius,Dog,Left,Yes,Extrovert
41,Black,Jammie Dodger,Left,No,Virgo,Cat,Right,Yes,Introvert
27,Blue,Garibaldi,Left,Yes,Aquarius,Dog,Left,No,Extrovert
47,White,Digestive,Right,Yes,Capricorn,Cat,Center-Right,No,Introvert
73,White,Rich Tea,Left,No,Aries,Bird,Right,Yes,Introvert
80,Orange,Custard Cream,Left,No,Aquarius,Rabbit,Left,No,Ambivert
46,Orange,Hobnob,Left,Yes,Aquarius,Fish,Right,Yes,Extrovert
40,Green,Ginger Nut,Left,No,Sagittarius,Bird,Center,No,Introvert
80,Green,Garibaldi,Right,Yes,Pisces,Rabbit,Center-Left,No,Extrovert
52,Blue,Custard Cream,Right,No,Cancer,Bird,Center-Left,No,Introvert
45,White,Hobnob,Left,Yes,Pisces,Cat,Center-Left,No,Ambivert
59,Blue,Custard Cream,Right,Yes,Leo,Rabbit,Center,Yes,Ambivert
56,Black,Custard Cream,Right,Yes,Virgo,Bird,Right,Yes,Introvert
21,Blue,Hobnob,Right,Yes,Aries,Dog,Center,Yes,Extrovert
33,Black,Nice,Right,No,Gemini,Rabbit,Center-Left,No,Introvert
69,Black,Shortbread,Left,Yes,Leo,Dog,Center-Right,No,Introvert
69,Blue,Digestive,Right,No,Leo,Cat,Right,No,Introvert
62,Green,Custard Cream,Left,Yes,Scorpio,Dog,Center,Yes,Extrovert
78,White,Bourbon,Right,Yes,Aries,Fish,Right,Yes,Introvert
74,Black,Jammie Dodger,Right,No,Sagittarius,Rabbit,Center-Left,Yes,Introvert
75,Brown,Hobnob,Left,No,Taurus,Cat,Center,Yes,Introvert
22,Yellow,Ginger Nut,Right,No,Taurus,Rabbit,Center-Right,No,Ambivert
45,Black,Custard Cream,Left,No,Sagittarius,Fish,Center-Left,No,Introvert
55,Brown,Rich Tea,Left,Yes,Virgo,Dog,Center-Right,No,Introvert
46,Orange,Garibaldi,Right,No,Virgo,Cat,Left,No,Ambivert
65,Pink,Jammie Dodger,Right,Yes,Cancer,Cat,Right,No,Extrovert
78,Yellow,Ginger Nut,Left,Yes,Libra,Bird,Left,Yes,Extrovert
57,Orange,Bourbon,Left,No,Pisces,Dog,Center,No,Ambivert
21,Purple,Digestive,Left,Yes,Libra,Rabbit,Right,Yes,Extrovert
59,Purple,Garibaldi,Left,No,Aries,Cat,Right,No,Ambivert
64,Red,Ginger Nut,Right,No,Cancer,Rabbit,Center-Right,Yes,Ambivert
55,Black,Ginger Nut,Left,No,Aries,Rabbit,Right,Yes,Introvert
76,Pink,Hobnob,Left,No,Sagittarius,Bird,Center-Left,No,Ambivert
42,White,Custard Cream,Left,No,Leo,Bird,Left,No,Introvert
24,Yellow,Shortbread,Right,No,Libra,Bird,Center-Left,Yes,Ambivert
60,Red,Garibaldi,Left,Yes,Libra,Fish,Left,No,Ambivert
56,Pink,Garibaldi,Left,No,Taurus,Fish,Center-Right,No,Ambivert
72,Blue,Bourbon,Right,Yes,Virgo,Rabbit,Center-Left,No,Ambivert
79,Pink,Digestive,Left,No,Gemini,Fish,Center-Left,Yes,Introvert
30,Black,Shortbread,Left,No,Virgo,Fish,Right,No,Introvert
69,Brown,Shortbread,Left,No,Gemini,Rabbit,Center,No,Introvert
43,White,Ginger Nut,Right,Yes,Gemini,Bird,Center,No,Ambivert
42,Purple,Ginger Nut,Left,Yes,Libra,Dog,Center,No,Extrovert
76,Green,Shortbread,Right,Yes,Pisces,Cat,Right,Yes,Ambivert
69,Blue,Bourbon,Right,Yes,Virgo,Cat,Center-Right,No,Ambivert
34,Orange,Bourbon,Left,Yes,Cancer,Dog,Center-Left,Yes,Extrovert
53,Pink,Digestive,Left,No,Aries,Bird,Left,No,Ambivert
63,Red,Hobnob,Left,Yes,Taurus,Dog,Center,No,Extrovert
52,White,Rich Tea,Left,Yes,Cancer,Dog,Center-Right,No,Introvert
54,Brown,Garibaldi,Left,No,Pisces,Cat,Left,No,Introvert
30,Black,Ginger Nut,Left,No,Sagittarius,Dog,Center-Left,No,Introvert
74,White,Hobnob,Left,Yes,Virgo,Rabbit,Left,Yes,Ambivert
50,Brown,Custard Cream,Right,Yes,Leo,Fish,Center,No,Introvert
41,Pink,Jammie Dodger,Left,Yes,Taurus,Cat,Center-Right,No,Extrovert
38,Green,Nice,Left,Yes,Aquarius,Fish,Center-Right,Yes,Introvert
23,Yellow,Bourbon,Left,Yes,Gemini,Dog,Left,No,Extrovert
76,Red,Shortbread,Right,Yes,Taurus,Rabbit,Center,No,Ambivert
35,Blue,Rich Tea,Right,No,Leo,Cat,Center,Yes,Introvert
68,Green,Rich Tea,Left,Yes,Aquarius,Cat,Center-Right,Yes,Introvert
79,Green,Shortbread,Left,No,Capricorn,Bird,Right,Yes,Introvert
80,Pink,Ginger Nut,Right,No,Leo,Dog,Center,Yes,Extrovert
20,Pink,Garibaldi,Left,Yes,Aquarius,Dog,Center,No,Extrovert
63,Green,Rich Tea,Right,No,Gemini,Fish,Center,Yes,Introvert
56,Purple,Custard Cream,Right,No,Libra,Bird,Center-Left,No,Ambivert
37,Red,Ginger Nut,Left,No,Pisces,Rabbit,Center-Left,No,Introvert
74,Black,Rich Tea,Right,No,Gemini,Rabbit,Center,Yes,Introvert
61,Green,Bourbon,Right,No,Virgo,Fish,Center-Left,Yes,Introvert
29,Blue,Digestive,Right,No,Scorpio,Cat,Center-Right,Yes,Introvert
76,Purple,Jammie Dodger,Left,Yes,Virgo,Dog,Center-Right,Yes,Extrovert
44,Green,Rich Tea,Left,No,Aries,Fish,Center,No,Introvert
67,Green,Digestive,Left,No,Virgo,Rabbit,Center-Left,Yes,Introvert
20,Orange,Nice,Left,Yes,Virgo,Cat,Center-Right,No,Introvert
30,Pink,Nice,Right,No,Aquarius,Cat,Right,Yes,Introvert
58,Brown,Jammie Dodger,Left,No,Gemini,Bird,Center-Left,Yes,Ambivert
64,Green,Ginger Nut,Right,Yes,Pisces,Fish,Center-Right,No,Introvert
77,Pink,Custard Cream,Right,No,Leo,Dog,Center,No,Ambivert
45,Yellow,Nice,Right,No,Libra,Bird,Center,No,Introvert
24,Green,Nice,Right,Yes,Sagittarius,Fish,Center-Left,Yes,Introvert
37,White,Bourbon,Left,No,Aries,Bird,Center-Right,Yes,Introvert
41,White,Ginger Nut,Right,No,Virgo,Fish,Center-Left,No,Introvert
56,Black,Bourbon,Right,No,Leo,Dog,Center-Right,Yes,Introvert
32,Red,Garibaldi,Right,Yes,Pisces,Cat,Right,No,Extrovert
29,White,Garibaldi,Left,No,Capricorn,Rabbit,Center-Left,Yes,Ambivert
54,Blue,Rich Tea,Left,Yes,Virgo,Dog,Left,No,Introvert
19,Brown,Custard Cream,Right,Yes,Cancer,Bird,Center-Left,Yes,Ambivert
58,Pink,Shortbread,Left,Yes,Pisces,Bird,Center-Right,Yes,Extrovert
79,Yellow,Jammie Dodger,Left,Yes,Aries,Rabbit,Right,No,Extrovert
37,Brown,Hobnob,Left,Yes,Aquarius,Dog,Left,Yes,Ambivert
53,Yellow,Digestive,Left,Yes,Aries,Rabbit,Center-Right,Yes,Extrovert
66,Pink,Jammie Dodger,Right,Yes,Taurus,Dog,Left,Yes,Extrovert
38,White,Ginger Nut,Left,No,Aries,Dog,Center-Left,Yes,Ambivert
22,Orange,Rich Tea,Right,No,Aries,Fish,Center-Left,No,Introvert
33,Blue,Bourbon,Right,Yes,Sagittarius,Bird,Left,Yes,Ambivert
70,Green,Garibaldi,Left,No,Aquarius,Rabbit,Right,No,Ambivert
50,Blue,Shortbread,Right,Yes,Taurus,Dog,Center,No,Ambivert
67,Orange,Custard Cream,Right,No,Sagittarius,Fish,Left,No,Introvert
66,Brown,Ginger Nut,Left,Yes,Scorpio,Fish,Center-Left,Yes,Introvert
64,Black,Ginger Nut,Left,No,Capricorn,Dog,Center,Yes,Introvert
31,Black,Shortbread,Right,No,Aries,Rabbit,Center,Yes,Introvert
18,Orange,Hobnob,Left,Yes,Aries,Fish,Center-Right,Yes,Extrovert
45,Purple,Custard Cream,Right,Yes,Virgo,Dog,Center,No,Extrovert
29,Orange,Jammie Dodger,Left,No,Sagittarius,Dog,Center-Left,No,Extrovert
41,Yellow,Garibaldi,Left,Yes,Libra,Rabbit,Center,No,Extrovert
51,Purple,Jammie Dodger,Right,Yes,Libra,Fish,Left,No,Extrovert
42,Red,Shortbread,Right,Yes,Taurus,Rabbit,Center-Right,No,Ambivert
66,Pink,Nice,Left,No,Pisces,Rabbit,Center,No,Introvert
49,Purple,Garibaldi,Right,No,Leo,Cat,Center-Right,Yes,Ambivert
56,White,Bourbon,Left,No,Virgo,Bird,Right,No,Introvert
57,Pink,Jammie Dodger,Left,Yes,Capricorn,Rabbit,Center,No,Extrovert
60,Yellow,Rich Tea,Left,Yes,Aquarius,Fish,Right,Yes,Introvert
58,Green,Ginger Nut,Left,No,Aries,Dog,Right,No,Introvert
80,Orange,Shortbread,Left,No,Aries,Cat,Center-Right,Yes,Introvert
